reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
15,35,13,0,0,0,1,0.0659116,,0.0272655,0.0659116,1.0010996,1.0010996,1.0671485,33.2687065,l,32.2532834,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
27,50,21,0,1,1,2,33.2953644,,33.269423,33.2953644,34.2796811,34.2796811,34.296075,34.9329463,l,0.642496,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
49,60,89,0,2,2,4,34.9460655,,34.933546,34.9460655,35.9466534,35.9466534,35.9466534,37.6997718,l,1.7425572,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
40,55,62,0,3,3,3,37.7126257,,37.7002356,37.7126257,38.7133146,38.7133146,38.7133146,39.3164205,l,0.5980534,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
67,75,119,0,4,4,5,39.3293246,,39.3168321,39.3293246,40.3286004,40.3286004,40.3286004,40.7821719,t,0.4517127,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
11,30,7,0,5,5,0,40.7956298,,40.7826323,40.7956298,41.7952084,41.7952084,41.7952084,42.3322737,l,0.5350091,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
78,80,162,0,6,6,6,42.3451904,,42.3327067,42.3451904,43.3458314,43.3458314,43.3458314,44.1329441,t,0.7785201,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
78,80,162,1,0,7,6,44.1457959,,44.1334204,44.1457959,45.1454754,45.1454754,45.1454754,45.5326392,t,0.382436,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
11,30,7,1,1,8,0,45.5451161,,45.5334097,45.5451161,46.5454092,46.5454092,46.5454092,47.0984413,l,0.5485861,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
67,75,119,1,2,9,5,47.1111193,,47.0988808,47.1111193,48.1110274,48.1110274,48.1110274,48.9483348,t,0.8204545,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
40,55,62,1,3,10,3,48.9606563,,48.9487502,48.9606563,49.9609286,49.9609286,49.9609286,50.5321866,l,0.5589971,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
15,35,13,1,4,11,1,50.5442326,,50.5326327,50.5442326,51.5444277,51.5444277,51.5444277,52.3487755,t,0.8029499,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
27,50,21,1,5,12,2,52.3602714,,52.3493155,52.3602714,53.3603987,53.3603987,53.3603987,54.1654622,l,0.7907072,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
49,60,89,1,6,13,4,54.1772978,,54.1660183,54.1772978,55.1774511,55.1774511,55.1774511,56.0482963,l,0.8674123,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
11,30,7,2,0,14,0,56.0601576,,56.0487938,56.0601576,57.0598608,57.0598608,57.0598608,57.5464903,l,0.4777742,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
67,75,119,2,1,15,5,57.5599297,,57.5469551,57.5599297,58.5597073,58.5597073,58.5597073,59.4463324,t,0.8760724,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
15,35,13,2,2,16,1,59.4597306,,59.4467944,59.4597306,60.4597729,60.4597729,60.4597729,61.530088,l,1.0689421,None,895317,1,2024-11-21_14h29.43.523,delay_discounting,2024.1.5,None,2024-11-21 14h29.49.911133 +0530
